workspace_id,doctor_id,name,actual_id,gender,experience,speciality_id,speciality_name,speciality_alias,is_active,profile_url,profile_pic,languages,hospitals
78323888282175,174980909112113,Shanthi Reddy,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,https://doctoronboarding.eka.care/6e6c35ce-36c7-4376-be0b-60fcf5a6c461.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980909339720,Ruksana Kushter,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/f2727188-9bb6-4aeb-876b-f8aa9eb8d3bb.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174885600137665,Sandhya Shivakumar,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/d6a0a8ce-43d8-4814-a74e-af9f51eb1c9b.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,do1774847260441,Madhu M,,,,6,Not Specified,,Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,175647163203092,Vijay Kumar,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980909084851,Sarbari Gupta,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,https://doctoronboarding.eka.care/83f57ea1-844e-4be8-b9c0-58365464287f.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,175517687024853,Samrakshini Golipelly,,,,14,Reproductive Medicine,"IVF, Fertility, ART, IUI, Infertility Treatment",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,174980908907585,Neha Chauhan,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,https://doctoronboarding.eka.care/07897eab-1fbb-4c66-8c6b-d3a633a35f6d.webp,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,do1767778850084,Y Bhanu Chandar Reddy,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
78323888282175,175517669582216,Chaithra S K,,,,14,Reproductive Medicine,"IVF, Fertility, ART, IUI, Infertility Treatment",Yes,,,,"Ovum Hospitals – Kalyan Nagar:Bengaluru:Karnataka:6849656ecc2d87001db0c21c:::Ovum Hospitals, Kalyan Nagar 916, 5th A Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar"
